protocol,model,n_seeds,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,fpr_at_tpr_90_mean,fpr_at_tpr_90_std,fpr_at_tpr_95_mean,fpr_at_tpr_95_std,asr_reduction_90_mean,asr_reduction_90_std,asr_reduction_95_mean,asr_reduction_95_std,blocked_benign_rate_90_mean,blocked_benign_rate_90_std,blocked_benign_rate_95_mean,blocked_benign_rate_95_std,latency_p50_ms_mean,latency_p50_ms_std,latency_p95_ms_mean,latency_p95_ms_std,budget_1_threshold_mean,budget_1_threshold_std,budget_1_fpr_mean,budget_1_fpr_std,budget_1_tpr_mean,budget_1_tpr_std,budget_1_asr_mean,budget_1_asr_std,budget_1_blocked_benign_mean,budget_1_blocked_benign_std,budget_3_threshold_mean,budget_3_threshold_std,budget_3_fpr_mean,budget_3_fpr_std,budget_3_tpr_mean,budget_3_tpr_std,budget_3_asr_mean,budget_3_asr_std,budget_3_blocked_benign_mean,budget_3_blocked_benign_std,budget_5_threshold_mean,budget_5_threshold_std,budget_5_fpr_mean,budget_5_fpr_std,budget_5_tpr_mean,budget_5_tpr_std,budget_5_asr_mean,budget_5_asr_std,budget_5_blocked_benign_mean,budget_5_blocked_benign_std
S_attack_holdout,context_transformer,3,0.9987199999999999,0.0,0.9989995327900063,0.0,0.0,0.0,0.01,0.0,0.9359999999999999,0.0,0.976,0.0,0.0,0.0,0.01,0.0,4196.598715000921,218.99693462981003,4252.718282250377,204.99024105018506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_attack_holdout,context_transformer_keep_prompt,3,0.9987199999999999,0.0,0.9989995327900063,0.0,0.0,0.0,0.01,0.0,0.9359999999999999,0.0,0.976,0.0,0.0,0.0,0.01,0.0,4110.867104335436,49.675147050128004,4216.926373699971,64.7731921977733,0.9986562728881836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9986562728881836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9986562728881836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S_attack_holdout,context_transformer_naive,3,0.99824,0.0,0.9986295173168381,1.3597399555105182e-16,0.0,0.0,0.01,0.0,0.912,0.0,0.976,0.0,0.0,0.0,0.01,0.0,2649.969006832786,198.59449724429268,2742.368125101833,300.49062280867264,0.998037318388621,6.88255154120476e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998037318388621,6.88255154120476e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998037318388621,6.88255154120476e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S_attack_holdout,heuristic,3,0.848,0.0,0.9324444444444445,1.3597399555105182e-16,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.3382778318676476,0.11756009098919834,1.4782534851595603,0.1398520644429897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_attack_holdout,heuristic_score,3,0.848,0.0,0.9324444444444445,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.4475833352965612,0.08373454619739057,1.5577291162723366,0.06985651949251823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_attack_holdout,tfidf_lr,3,0.94408,0.0,0.9606247367368881,0.0,0.36999999999999994,6.798699777552591e-17,0.41,0.0,0.944,0.0,1.0,0.0,0.36999999999999994,6.798699777552591e-17,0.41,0.0,1.933354166491578,0.022510225055361516,2.0573500010262555,0.06312556417250426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_attack_holdout,transformer,3,0.9803999999999999,0.0,0.98746977124183,1.3597399555105182e-16,0.0,0.0,0.3499999999999999,6.798699777552591e-17,0.9226666666666667,0.009237604307034021,1.0,0.0,0.0,0.0,0.3499999999999999,6.798699777552591e-17,715.4549306651461,37.4934250491316,739.6527930650336,54.807820332908804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_random,context_transformer,3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9274193548387096,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4126.688798499042,329.49850741120923,4205.872927853731,301.8332874109046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_random,context_transformer_keep_prompt,3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9274193548387096,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3997.6972776663993,32.63316146844896,4057.8706032996706,80.90054934276766,0.8033546010653178,4.238780167876964e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8033546010653178,4.238780167876964e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8033546010653178,4.238780167876964e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S_random,context_transformer_naive,3,0.9998387096774194,7.850462293418876e-17,0.9998714797747055,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.9435483870967744,1.3597399555105182e-16,0.9596774193548386,1.3597399555105182e-16,0.0,0.0,0.0,0.0,2469.6171459994125,20.663407168999118,2512.3762688497663,35.81164895811056,0.9679404099782308,1.3641175484261859e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9679404099782308,1.3641175484261859e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9679404099782308,1.3641175484261859e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
