seed,protocol,model,roc_auc,pr_auc,fpr_at_tpr_90,fpr_at_tpr_95,asr_reduction_90,asr_reduction_95,blocked_benign_rate_90,blocked_benign_rate_95,latency_p50_ms,latency_p95_ms,budget_1_threshold,budget_1_fpr,budget_1_tpr,budget_1_asr,budget_1_blocked_benign,budget_3_threshold,budget_3_fpr,budget_3_tpr,budget_3_asr,budget_3_blocked_benign,budget_5_threshold,budget_5_fpr,budget_5_tpr,budget_5_asr,budget_5_blocked_benign
0,S_attack_holdout,context_transformer_keep_prompt_longschema,0.998,0.998417050102255,0.0,0.01,0.912,0.976,0.0,0.01,4802.082166504988,4985.335777309228,0.9981443881988525,0.0,0.0,0.0,0.0,0.9981443881988525,0.0,0.0,0.0,0.0,0.9981443881988525,0.0,0.0,0.0,0.0
0,S_attack_holdout,context_transformer_naive_longschema,0.45516,0.5412016728105368,0.92,0.95,0.912,0.984,0.92,0.95,4425.186791995657,5219.014718745893,inf,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0
0,S_random,context_transformer_keep_prompt_longschema,0.9971774193548387,0.9978690790941758,0.0,0.0,0.9596774193548387,0.9596774193548387,0.0,0.0,4562.333500500245,5113.285264544538,0.9624073505401611,0.0,0.0,0.0,0.0,0.9624073505401611,0.0,0.0,0.0,0.0,0.033391814678907394,0.0,0.0,0.0,0.0
0,S_random,context_transformer_naive_longschema,0.4786290322580645,0.6566087548171691,0.9,0.96,0.9032258064516129,0.9516129032258065,0.9,0.96,4715.220604499336,5308.685718757623,0.4331110417842865,0.0,0.0,0.0,0.0,0.4331110417842865,0.0,0.0,0.0,0.0,0.4331110417842865,0.0,0.0,0.0,0.0
1,S_attack_holdout,context_transformer_keep_prompt_longschema,0.998,0.998417050102255,0.0,0.01,0.912,0.976,0.0,0.01,4412.857499999518,4451.007579345605,0.9981443881988525,0.0,0.0,0.0,0.0,0.9981443881988525,0.0,0.0,0.0,0.0,0.9981443881988525,0.0,0.0,0.0,0.0
1,S_attack_holdout,context_transformer_naive_longschema,0.45512,0.5407846136742825,0.92,0.95,0.912,0.984,0.92,0.95,4456.05162550055,4988.389671192999,inf,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0
1,S_random,context_transformer_keep_prompt_longschema,0.9966935483870968,0.9975018643121685,0.0,0.01,0.9435483870967742,0.967741935483871,0.0,0.01,4779.266020494106,4807.956570503302,0.987838864326477,0.0,0.0,0.0,0.0,0.9461864233016968,0.0,0.0,0.0,0.0,0.08035121858119965,0.0,0.0,0.0,0.0
1,S_random,context_transformer_naive_longschema,0.4786290322580646,0.656608754817169,0.9,0.96,0.9032258064516129,0.9516129032258065,0.9,0.96,4721.446750001633,4956.593224847165,0.43311062455177307,0.0,0.0,0.0,0.0,0.43311062455177307,0.0,0.0,0.0,0.0,0.43311062455177307,0.0,0.0,0.0,0.0
2,S_attack_holdout,context_transformer_keep_prompt_longschema,0.998,0.998417050102255,0.0,0.01,0.912,0.976,0.0,0.01,4367.498499996145,4410.517370654998,0.9981443881988525,0.0,0.0,0.0,0.0,0.9981443881988525,0.0,0.0,0.0,0.0,0.9981443881988525,0.0,0.0,0.0,0.0
2,S_attack_holdout,context_transformer_naive_longschema,0.45516000000000006,0.5410027954924643,0.92,0.95,0.912,0.984,0.92,0.95,4330.6260839963215,4370.492966603342,inf,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0
2,S_random,context_transformer_keep_prompt_longschema,0.9970161290322581,0.997752668415399,0.0,0.0,0.9596774193548387,0.9596774193548387,0.0,0.0,4396.443479505251,4499.645985756069,0.9882590770721436,0.0,0.0,0.0,0.0,0.942673921585083,0.0,0.0,0.0,0.0,0.08624809980392456,0.0,0.0,0.0,0.0
2,S_random,context_transformer_naive_longschema,0.4786290322580645,0.6566087548171691,0.9,0.96,0.9032258064516129,0.9516129032258065,0.9,0.96,4314.190395998594,4351.404833701963,0.4331102669239044,0.0,0.0,0.0,0.0,0.4331102669239044,0.0,0.0,0.0,0.0,0.4331102669239044,0.0,0.0,0.0,0.0
